state,response,coverage,education,effective_to_date_(month),employmentstatus,gender,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,Basic,Bachelor,feb/2011,Employed,F,Suburban,Married,Corporate L3,Offer1,Agent,Two-Door Car,Medsize
Arizona,No,Extended,Bachelor,jan/2011,Unemployed,F,Suburban,Single,Personal L3,Offer3,Agent,Four-Door Car,Medsize
Nevada,No,Premium,Bachelor,feb/2011,Employed,F,Suburban,Married,Personal L3,Offer1,Agent,Two-Door Car,Medsize
California,No,Basic,Bachelor,jan/2011,Unemployed,M,Suburban,Married,Corporate L2,Offer1,Call Center,SUV,Medsize
Washington,No,Basic,Bachelor,feb/2011,Employed,M,Rural,Single,Personal L1,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,jan/2011,Employed,F,Rural,Married,Personal L3,Offer2,Web,Two-Door Car,Medsize
Oregon,Yes,Basic,College,feb/2011,Employed,F,Suburban,Married,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Premium,Master,jan/2011,Unemployed,M,Urban,Single,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,jan/2011,Medical Leave,M,Suburban,Divorced,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,College,feb/2011,Employed,F,Urban,Married,Special L2,Offer2,Branch,Four-Door Car,Medsize
California,No,Basic,College,feb/2011,Unemployed,M,Suburban,Single,Personal L3,Offer1,Agent,Four-Door Car,Small
California,No,Basic,College,jan/2011,Unemployed,F,Suburban,Married,Personal L3,Offer2,Agent,SUV,Medsize
California,No,Premium,Master,feb/2011,Employed,M,Urban,Married,Corporate L1,Offer2,Agent,Four-Door Car,Medsize
Arizona,Yes,Basic,High School or Below,jan/2011,Employed,M,Suburban,Married,Corporate L3,Offer2,Branch,SUV,Medsize
California,No,Basic,College,jan/2011,Employed,M,Urban,Single,Corporate L3,Offer4,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,jan/2011,Employed,F,Rural,Married,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,feb/2011,Medical Leave,M,Suburban,Married,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
California,No,Basic,College,jan/2011,Medical Leave,M,Suburban,Married,Personal L2,Offer3,Call Center,SUV,Medsize
Oregon,No,Basic,College,feb/2011,Employed,M,Urban,Married,Personal L2,Offer2,Branch,Four-Door Car,Medsize
California,No,Premium,High School or Below,jan/2011,Employed,F,Suburban,Married,Corporate L2,Offer1,Call Center,Four-Door Car,Small
Oregon,No,Basic,High School or Below,feb/2011,Employed,M,Suburban,Single,Personal L2,Offer1,Branch,Two-Door Car,Medsize
Washington,No,Extended,Bachelor,jan/2011,Disabled,F,Suburban,Divorced,Personal L3,Offer4,Call Center,Four-Door Car,Medsize
Arizona,Yes,Basic,Bachelor,jan/2011,Medical Leave,M,Suburban,Divorced,Personal L3,Offer1,Agent,Four-Door Car,Medsize
Nevada,No,Basic,Bachelor,feb/2011,Unemployed,F,Suburban,Single,Corporate L3,Offer1,Branch,Four-Door Car,Medsize
California,No,Basic,Bachelor,feb/2011,Disabled,F,Suburban,Married,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
Oregon,No,Basic,College,jan/2011,Employed,M,Suburban,Married,Personal L3,Offer2,Call Center,Four-Door Car,Large
California,No,Premium,Bachelor,feb/2011,Unemployed,F,Suburban,Single,Personal L3,Offer1,Agent,Four-Door Car,Small
Washington,No,Extended,Master,feb/2011,Disabled,F,Urban,Married,Corporate L1,Offer1,Branch,SUV,Medsize
Arizona,No,Premium,College,feb/2011,Employed,F,Suburban,Single,Personal L3,Offer1,Call Center,Four-Door Car,Large
Oregon,No,Extended,Master,feb/2011,Employed,F,Suburban,Married,Personal L3,Offer2,Branch,Four-Door Car,Small
Arizona,No,Basic,College,feb/2011,Employed,M,Suburban,Married,Personal L2,Offer4,Call Center,Four-Door Car,Small
Nevada,No,Extended,High School or Below,jan/2011,Employed,M,Urban,Married,Corporate L2,Offer2,Agent,Luxury SUV,Medsize
California,No,Basic,Bachelor,jan/2011,Unemployed,M,Urban,Married,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
Washington,No,Basic,Bachelor,jan/2011,Employed,M,Suburban,Married,Corporate L2,Offer1,Agent,Two-Door Car,Small
Oregon,No,Basic,Bachelor,feb/2011,Employed,F,Rural,Married,Corporate L1,Offer3,Web,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,jan/2011,Employed,F,Urban,Married,Personal L1,Offer1,Branch,Four-Door Car,Medsize
California,No,Premium,Bachelor,jan/2011,Employed,M,Suburban,Married,Personal L3,Offer1,Agent,Four-Door Car,Small
Oregon,No,Extended,Master,feb/2011,Employed,F,Suburban,Married,Personal L3,Offer2,Web,Four-Door Car,Small
Oregon,No,Extended,Bachelor,jan/2011,Unemployed,M,Suburban,Single,Personal L2,Offer3,Agent,Two-Door Car,Small
Arizona,No,Basic,High School or Below,feb/2011,Employed,M,Rural,Divorced,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,jan/2011,Unemployed,F,Suburban,Married,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize
Oregon,Yes,Basic,College,jan/2011,Employed,F,Rural,Single,Corporate L3,Offer2,Agent,Two-Door Car,Medsize
California,Yes,Extended,Bachelor,jan/2011,Employed,F,Suburban,Married,Personal L2,Offer2,Agent,Four-Door Car,Small
Arizona,No,Basic,High School or Below,feb/2011,Employed,M,Suburban,Married,Personal L2,Offer4,Agent,Sports Car,Medsize
Washington,No,Basic,College,feb/2011,Employed,M,Suburban,Married,Special L2,Offer2,Call Center,Four-Door Car,Large
Oregon,No,Premium,Doctor,jan/2011,Disabled,F,Rural,Married,Personal L2,Offer1,Branch,SUV,Medsize
Arizona,No,Basic,Bachelor,jan/2011,Unemployed,M,Suburban,Single,Personal L3,Offer3,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,jan/2011,Employed,F,Suburban,Single,Personal L2,Offer4,Agent,Two-Door Car,Medsize
California,No,Extended,Bachelor,feb/2011,Unemployed,F,Suburban,Married,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,jan/2011,Unemployed,F,Suburban,Married,Personal L2,Offer4,Branch,Four-Door Car,Medsize
Oregon,No,Basic,College,jan/2011,Employed,M,Suburban,Married,Personal L2,Offer1,Agent,SUV,Small
California,Yes,Basic,Bachelor,jan/2011,Employed,F,Suburban,Divorced,Corporate L1,Offer1,Web,SUV,Medsize
Nevada,No,Basic,High School or Below,feb/2011,Employed,F,Rural,Married,Special L1,Offer4,Branch,Four-Door Car,Medsize
